time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
20160324 20:01,17,53,15,43,17,76,91,61,70,20,10261,84,107,123,129,130
20160324 20:02,15,54,14,44,13,60,91,61,70,20,10261,84,107,122,128,130
20160324 20:03,15,47,15,45,17,59,91,61,70,20,10261,84,107,122,128,130
20160324 20:04,14,50,15,47,11,75,90,61,70,19,10260,83,107,122,128,130
20160324 20:05,14,50,15,47,17,64,90,61,70,19,10260,83,107,122,128,130
20160324 20:06,18,45,16,47,19,69,90,61,70,19,10260,83,107,122,128,130
20160324 20:07,20,48,17,49,21,75,90,61,70,19,10260,83,106,122,128,130
20160324 20:08,24,56,18,51,27,75,90,61,70,19,10261,83,106,122,128,130
20160324 20:09,18,57,17,51,10,77,90,61,70,19,10261,82,106,122,128,130
20160324 20:10,13,51,17,51,17,79,90,61,70,19,10262,82,106,122,128,130
20160324 20:11,17,53,17,51,17,80,90,60,69,17,10262,82,106,122,128,129
20160324 20:12,18,59,18,52,20,82,90,60,69,17,10263,82,106,122,128,130
20160324 20:13,18,49,17,51,16,49,90,59,68,14,10263,82,106,122,128,129
20160324 20:14,18,41,18,51,20,60,90,59,68,14,10264,81,106,122,128,129
20160324 20:15,23,52,19,52,25,81,90,59,68,14,10264,81,106,122,128,129
20160324 20:16,25,60,20,54,25,87,89,59,67,13,10264,81,106,122,128,129
20160324 20:17,23,64,20,55,21,95,89,59,67,13,10264,81,105,121,128,129
20160324 20:18,21,64,19,55,21,72,89,59,67,13,10264,81,105,121,128,129
20160324 20:19,13,58,19,55,5,75,89,59,67,13,10264,81,105,121,128,129
20160324 20:20,5,57,18,56,5,66,89,60,68,16,10264,80,105,121,128,129
20160324 20:21,17,52,19,55,29,71,89,60,68,16,10264,80,105,121,128,129
20160324 20:22,18,47,17,54,7,64,89,60,68,16,10264,80,105,121,128,129
20160324 20:23,18,49,19,55,29,80,89,60,68,16,10264,80,105,121,128,129
20160324 20:24,26,53,19,56,23,100,88,59,67,12,10265,80,105,121,128,129
20160324 20:25,20,61,18,57,16,101,88,59,67,12,10265,80,105,121,128,129
20160324 20:26,12,61,16,56,8,63,89,58,66,11,10265,80,104,121,127,129
20160324 20:27,9,46,15,53,11,50,89,58,66,11,10265,79,104,121,128,129
20160324 20:28,15,46,15,53,20,68,88,58,66,10,10266,79,104,121,128,129
20160324 20:29,22,57,17,53,25,83,88,57,65,8,10267,79,104,121,127,129
20160324 20:30,22,63,19,54,19,96,88,57,65,8,10267,79,104,121,127,129
20160324 20:31,17,63,17,55,15,82,88,56,63,5,10267,78,104,121,127,129
20160324 20:32,19,63,19,57,23,89,88,56,63,5,10267,78,104,121,127,129
20160324 20:33,20,66,18,59,17,90,88,56,63,5,10267,78,104,120,127,129
20160324 20:34,14,55,17,57,12,68,88,56,63,5,10266,78,104,120,127,129
20160324 20:35,17,45,17,55,21,78,88,56,63,5,10266,78,104,120,127,129
20160324 20:36,26,53,19,56,31,78,88,56,63,5,10267,77,103,120,127,129
20160324 20:37,26,53,20,57,22,65,87,56,63,4,10267,77,103,120,127,129
20160324 20:38,22,45,21,56,23,65,87,56,63,4,10267,77,103,120,127,129
20160324 20:39,18,44,20,54,14,63,87,56,63,4,10267,77,103,120,127,129
20160324 20:40,16,46,20,52,19,68,87,55,62,2,10267,77,103,120,127,129
20160324 20:41,21,52,20,52,22,87,87,55,62,2,10268,77,103,120,127,129
20160324 20:42,20,50,20,50,18,58,87,55,62,2,10268,77,103,120,127,129
20160324 20:43,25,44,21,48,32,63,87,55,62,2,10268,77,103,120,127,129
20160324 20:44,30,50,23,49,27,64,87,56,63,4,10268,77,103,120,127,129
20160324 20:45,28,49,24,49,29,72,87,56,63,4,10268,77,102,120,127,129
20160324 20:46,25,44,23,47,21,51,87,56,63,4,10268,77,102,120,127,129
20160324 20:47,22,37,23,45,24,44,87,56,63,4,10268,77,102,119,127,129
20160324 20:48,19,32,22,44,15,44,87,56,63,4,10268,77,102,119,127,129
20160324 20:49,28,38,25,44,40,65,87,56,63,4,10268,77,102,119,127,129
20160324 20:50,36,49,26,45,32,81,86,56,63,3,10268,77,102,119,127,129
20160324 20:51,34,46,27,43,35,72,86,56,63,3,10268,77,102,119,127,129
20160324 20:52,33,40,29,43,31,78,86,57,64,6,10268,77,102,119,127,129
20160324 20:53,23,41,27,42,15,65,86,57,64,6,10268,77,102,119,127,129
20160324 20:54,20,39,27,41,26,45,86,57,64,6,10268,77,101,119,126,129
20160324 20:55,25,42,26,41,24,64,86,57,64,6,10268,77,101,119,126,129
20160324 20:56,24,45,27,41,24,54,86,57,64,6,10268,77,101,119,126,129
20160324 20:57,24,44,27,42,24,61,86,57,64,6,10269,77,101,119,126,129
20160324 20:58,22,42,27,43,20,58,86,57,64,6,10269,77,101,119,126,129
20160324 20:59,27,41,27,43,35,60,86,57,64,6,10269,77,101,119,126,129
20160324 21:00,33,42,27,42,31,55,86,58,65,8,10269,77,101,119,126,129
20160324 21:01,33,41,27,42,35,56,86,58,65,8,10269,77,101,119,126,129
20160324 21:02,35,39,27,41,35,51,85,58,64,7,10269,77,101,119,126,129
20160324 21:03,29,38,28,41,22,54,85,58,64,7,10269,77,101,118,126,129
20160324 21:04,30,38,29,41,37,55,85,58,64,7,10269,77,101,118,126,129
20160324 21:05,31,40,29,41,24,65,85,58,64,7,10269,77,100,118,126,129
20160324 21:06,19,43,28,41,15,62,85,58,64,7,10270,77,100,118,126,129
20160324 21:07,18,57,27,43,20,97,85,58,64,7,10271,77,100,118,126,129
20160324 21:08,20,64,27,45,19,78,85,56,62,2,10271,77,100,118,126,128
20160324 21:09,21,51,26,45,23,71,85,56,62,2,10271,76,100,118,126,128
20160324 21:10,23,53,25,47,24,92,85,55,61,0,10271,76,100,118,126,128
20160324 21:11,20,56,24,48,17,68,85,53,59,-5,10271,76,100,118,126,128
20160324 21:12,22,54,23,51,27,99,85,53,59,-5,10271,76,100,118,126,128
20160324 21:13,24,61,23,53,22,87,85,53,59,-5,10271,76,100,118,126,128
20160324 21:14,20,61,21,55,18,80,85,52,58,-8,10272,76,100,118,126,128
20160324 21:15,20,58,21,57,21,73,85,53,59,-5,10272,76,100,118,126,128
20160324 21:16,20,51,21,57,18,65,85,53,59,-5,10272,76,100,118,126,128
20160324 21:17,20,43,21,54,21,64,85,53,59,-5,10272,76,99,118,126,128
20160324 21:18,19,44,21,53,17,73,85,53,59,-5,10272,76,99,117,126,128
20160324 21:19,18,46,20,53,19,59,85,54,60,-3,10272,76,99,117,126,128
20160324 21:20,22,43,21,51,26,49,85,54,60,-3,10272,76,99,117,125,128
20160324 21:21,31,35,22,49,36,46,85,54,60,-3,10272,76,99,117,125,128
20160324 21:22,33,37,23,47,30,66,85,54,60,-3,10272,76,99,117,125,128
20160324 21:23,30,49,24,46,30,79,85,54,60,-3,10272,76,99,117,125,128
20160324 21:24,36,46,26,44,43,63,85,54,60,-3,10272,76,99,117,125,128
20160324 21:25,32,34,26,41,22,38,85,55,61,0,10272,76,99,117,125,128
20160324 21:26,26,31,27,40,30,44,85,55,61,0,10272,76,99,117,125,128
20160324 21:27,30,36,28,40,29,56,85,55,61,0,10273,76,99,117,125,128
20160324 21:28,27,37,29,39,25,65,85,55,61,0,10273,76,99,117,125,128
20160324 21:29,28,44,30,40,30,76,84,55,61,-1,10273,76,99,117,125,128
20160324 21:30,23,49,29,40,15,69,84,55,61,-1,10272,76,98,117,125,128
20160324 21:31,14,52,27,43,14,84,84,55,61,-1,10273,76,98,117,125,128
20160324 21:32,19,60,26,45,25,86,84,55,61,-1,10273,76,98,117,125,128
20160324 21:33,30,53,27,44,35,66,84,55,61,-1,10273,76,98,116,125,128
20160324 21:34,35,44,26,44,35,66,84,55,61,-1,10273,76,98,116,125,128
20160324 21:35,24,49,25,47,13,71,84,54,59,-4,10273,76,98,116,125,128
