time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
2016-06-08 20:01:00,105,24,116,32,107,29,219,95,250,211,10084,220,231,240,242,240
2016-06-08 20:02:00,106,25,115,31,105,38,219,95,250,211,10084,220,231,240,242,240
2016-06-08 20:03:00,113,31,116,32,121,42,219,95,250,211,10084,220,231,240,242,240
2016-06-08 20:04:00,114,32,115,32,108,34,219,95,250,211,10084,220,231,240,242,240
2016-06-08 20:05:00,109,28,113,30,110,37,219,95,250,211,10084,221,231,239,242,240
2016-06-08 20:06:00,113,24,112,29,117,34,219,95,250,211,10084,221,231,239,242,240
2016-06-08 20:07:00,114,22,111,27,112,34,219,95,250,211,10084,221,231,239,242,240
2016-06-08 20:08:00,115,22,112,27,118,39,219,95,250,211,10084,221,231,239,242,240
2016-06-08 20:09:00,115,26,111,26,112,39,219,95,250,211,10083,220,231,239,242,240
2016-06-08 20:10:00,111,31,112,27,109,43,219,95,250,211,10083,220,231,239,242,240
2016-06-08 20:11:00,112,34,113,28,115,44,219,95,250,211,10083,220,231,239,242,240
2016-06-08 20:12:00,118,35,114,29,120,45,219,95,250,211,10083,220,231,239,242,240
2016-06-08 20:13:00,115,31,113,28,110,37,219,95,250,211,10084,220,231,239,242,240
2016-06-08 20:14:00,108,32,113,29,106,47,219,95,250,211,10084,220,230,239,242,240
2016-06-08 20:15:00,110,35,113,29,114,48,219,95,250,211,10085,220,230,239,242,240
2016-06-08 20:16:00,112,32,113,30,111,41,219,95,250,211,10085,220,230,239,242,240
2016-06-08 20:17:00,111,32,113,31,112,48,219,95,250,211,10086,220,230,239,242,240
2016-06-08 20:18:00,113,37,112,33,115,57,220,95,251,212,10086,220,230,239,242,240
2016-06-08 20:19:00,115,33,113,33,116,38,220,95,251,212,10086,220,230,239,242,240
2016-06-08 20:20:00,112,23,113,32,108,24,220,95,251,212,10086,220,230,238,241,239
2016-06-08 20:21:00,106,22,112,31,104,38,220,95,251,212,10086,220,230,238,241,239
2016-06-08 20:22:00,110,26,111,30,117,36,220,95,251,212,10087,220,230,238,241,239
2016-06-08 20:23:00,117,29,112,30,118,35,220,95,251,212,10087,220,230,238,241,239
2016-06-08 20:24:00,118,29,113,30,119,36,220,95,251,212,10088,221,230,238,241,239
2016-06-08 20:25:00,129,22,116,28,140,23,220,95,251,212,10088,221,230,238,241,239
2016-06-08 20:26:00,132,18,117,27,125,32,220,95,251,212,10088,221,230,238,241,239
2016-06-08 20:27:00,126,26,119,27,127,40,220,95,251,212,10088,221,230,238,241,239
2016-06-08 20:28:00,129,31,120,26,130,44,220,95,251,212,10088,221,230,238,241,239
2016-06-08 20:29:00,129,27,122,25,128,29,220,95,251,212,10089,221,230,238,241,239
2016-06-08 20:30:00,128,23,124,26,127,29,220,95,251,212,10089,221,230,238,241,239
2016-06-08 20:31:00,130,22,126,25,133,28,220,95,251,212,10090,221,230,238,241,239
2016-06-08 20:32:00,137,23,129,25,140,33,221,95,253,213,10090,221,230,238,241,239
2016-06-08 20:33:00,148,22,132,24,155,30,221,95,253,213,10091,221,230,238,241,239
2016-06-08 20:34:00,146,19,134,23,137,35,221,95,253,213,10091,221,230,238,241,239
2016-06-08 20:35:00,130,16,133,23,124,23,221,95,253,213,10091,221,229,238,241,239
2016-06-08 20:36:00,125,21,133,23,125,46,221,95,253,213,10091,222,229,238,241,239
2016-06-08 20:37:00,130,30,133,23,135,46,221,95,253,213,10091,221,229,238,241,239
2016-06-08 20:38:00,136,32,134,24,137,44,221,95,253,213,10092,222,229,237,241,239
2016-06-08 20:39:00,141,29,136,24,145,31,221,95,253,213,10092,222,229,237,241,239
2016-06-08 20:40:00,148,29,138,25,151,38,221,96,255,214,10092,222,229,237,241,239
2016-06-08 20:41:00,147,30,139,25,143,43,221,96,255,214,10091,222,229,237,241,239
2016-06-08 20:42:00,147,28,140,26,151,36,221,96,255,214,10091,222,229,237,240,239
2016-06-08 20:43:00,149,26,140,26,147,42,221,96,255,214,10090,222,229,237,240,239
2016-06-08 20:44:00,143,24,140,27,139,39,221,96,255,214,10090,222,229,237,240,239
2016-06-08 20:45:00,143,23,142,28,147,39,222,96,257,215,10089,222,229,237,240,239
2016-06-08 20:46:00,143,26,144,28,140,39,222,96,257,215,10089,222,229,237,240,239
2016-06-08 20:47:00,142,27,145,27,145,38,222,96,257,215,10088,222,229,237,240,239
2016-06-08 20:48:00,133,25,143,26,123,38,222,96,257,215,10088,222,229,237,240,239
2016-06-08 20:49:00,129,28,142,27,136,41,222,96,257,215,10088,222,229,237,240,239
2016-06-08 20:50:00,136,33,141,27,136,46,222,96,257,215,10088,222,229,237,240,239
2016-06-08 20:51:00,136,35,140,28,137,46,222,95,254,214,10088,222,229,237,240,239
2016-06-08 20:52:00,135,28,138,27,133,33,222,95,254,214,10088,222,229,237,240,239
2016-06-08 20:53:00,130,27,136,28,127,51,222,95,254,214,10088,222,229,237,240,239
2016-06-08 20:54:00,124,33,134,29,120,42,222,95,254,214,10088,222,229,237,240,239
