"time_now","wd_avg_2mins","ws_avg_2mins","wd_avg_10mins","ws_avg_10mins","wd_maxsp_this_min","ws_maxsp_this_min","ws_avg_2_mins_helper","ws_avg_10_mins_helper","ws_maxsp_this_min_helper","water_this_min_rat","water_this_hour_rat","water_this_min_rat1","water_this_hour_rat1","water_this_min_by_weight","water_this_hour_by_weight","air_temp_by_box","sp_ventilation","air_temp_ventilation","wet_bulb_temp","value_humicap","relative_humidity","water_vapor_pressure","dew_temp","station_pressure","grass_temp","ground_temp_pt","ground_temp_infrared","ground_tem_5cm","ground_tem_10cm","ground_tem_15cm","ground_tem_20cm","ground_tem_40cm","ground_tem_80cm","ground_tem_160cm","ground_tem_320cm","water_lever_evaporation_this_min","water_evaporation_this_hour","visibility_avg_this_min","visibility_avg_10_mins","cloud_height","total_cloud_amount","low_cloud_amount","code_weather","snow_depth","freezing_rain","ice_accretion_on_wires","frozen_soil_depth","frequency_lightning","sign_of_data_quality","crlf"
"2001"," 297","  18"," 295","  19"," 303","  20","----","----","----","0000","0000","----","----","0000","0000","  66","----","----","----","----","83","  81","  39","10181","----","  44","----","  64","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2002"," 302","  15"," 295","  19"," 301","  20","----","----","----","0000","0000","----","----","0000","0000","  65","----","----","----","----","83","  80","  38","10181","----","  43","----","  64","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2003"," 299","  14"," 295","  18"," 297","  20","----","----","----","0000","0000","----","----","0000","0000","  65","----","----","----","----","83","  80","  38","10181","----","  43","----","  64","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2004"," 296","  15"," 296","  18"," 296","  23","----","----","----","0000","0000","----","----","0000","0000","  65","----","----","----","----","83","  80","  38","10181","----","  42","----","  64","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2005"," 290","  18"," 296","  18"," 285","  23","----","----","----","0000","0000","----","----","0000","0000","  65","----","----","----","----","83","  80","  38","10181","----","  42","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2006"," 283","  21"," 295","  18"," 282","  26","----","----","----","0000","0000","----","----","0000","0000","  64","----","----","----","----","83","  80","  37","10181","----","  41","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2007"," 287","  21"," 294","  18"," 292","  26","----","----","----","0000","0000","----","----","0000","0000","  64","----","----","----","----","84","  81","  39","10182","----","  41","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2008"," 295","  16"," 295","  17"," 299","  15","----","----","----","0000","0000","----","----","0000","0000","  64","----","----","----","----","84","  81","  39","10182","----","  41","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2009"," 296","  14"," 294","  17"," 293","  20","----","----","----","0000","0000","----","----","0000","0000","  64","----","----","----","----","84","  81","  39","10182","----","  41","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
"2010"," 302","  15"," 296","  17"," 312","  18","----","----","----","0000","0000","----","----","0000","0000","  63","----","----","----","----","84","  80","  38","10182","----","  40","----","  63","  74","  79","  81","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN",""
